term,bid_date,series_key,issue_no,reissue_no,amount,is_special,label
5Y,2025-11-19,R20,20,1,990.0,0,25附息20续1
5Y,2025-12-19,R20,20,2,990.0,0,25附息20续2
5Y,2026-01-23,R3,3,0,1500.0,0,26附息3
5Y,2026-02-25,R3,3,1,1200.0,0,26附息3续1
5Y,2026-03-18,R3,3,2,1550.0,0,26附息3续2
5Y,2026-04-14,R8,8,0,1400.0,0,26附息8
5Y,2026-05-22,R8,8,1,1500.0,0,26附息8续1
5Y,2026-06-17,R8,8,2,1300.0,0,26附息8续2
5Y,2026-07-24,R15,15,0,1300.0,0,26附息15
10Y,2025-11-14,R22,22,0,1190.0,0,25附息22
10Y,2025-12-12,R22,22,1,1190.0,0,25附息22续1
10Y,2025-12-12,S1,1,0,4000.0,1,25特别1
10Y,2026-01-09,R22,22,2,1800.0,0,26附息22续2
10Y,2026-02-24,R5,5,0,1350.0,0,26附息5
10Y,2026-03-20,R5,5,1,1850.0,0,26附息5续1
10Y,2026-04-01,R5,5,2,900.0,0,26附息5续2
10Y,2026-04-22,R5,5,3,900.0,0,26附息5续3
10Y,2026-05-14,R10,10,0,900.0,0,26附息10
10Y,2026-05-25,R10,10,1,900.0,0,26附息10续1
10Y,2026-06-10,R10,10,2,900.0,0,26附息10续2
10Y,2026-06-22,R10,10,3,900.0,0,26附息10续3
10Y,2026-07-08,R10,10,4,900.0,0,26附息10续4
10Y,2026-07-22,R10,10,5,900.0,0,26附息10续5
30Y,2025-11-14,R2,2,4,270.0,0,25附息2续4
30Y,2025-12-05,R2,2,5,270.0,0,25附息2续5
30Y,2026-01-14,R2,2,0,320.0,0,26附息2
30Y,2026-02-06,R2,2,1,320.0,0,26附息2续1
30Y,2026-03-06,R2,2,2,340.0,0,26附息2续2
30Y,2026-04-03,R2,2,3,240.0,0,26附息2续3
30Y,2026-04-24,S2,2,0,850.0,1,26特别2
30Y,2026-05-08,S2,2,1,850.0,1,26特别2续1
30Y,2026-05-20,S2,2,2,850.0,1,26特别2续2
30Y,2026-06-03,S2,2,3,850.0,1,26特别2续3
30Y,2026-06-24,S4,4,0,850.0,1,26特别4
30Y,2026-07-03,S4,4,1,800.0,1,26特别4续1
30Y,2026-07-15,S4,4,2,800.0,1,26特别4续2
