term,kind,bid_date
5Y,planned,2025-11-19
5Y,planned,2025-12-19
5Y,planned,2026-01-23
5Y,planned,2026-02-25
5Y,planned,2026-03-18
5Y,planned,2026-04-14
5Y,planned,2026-05-22
5Y,planned,2026-06-17
5Y,planned,2026-07-08
5Y,planned,2026-07-24
5Y,actual,2025-11-19
5Y,actual,2025-12-19
5Y,actual,2026-01-23
5Y,actual,2026-02-25
5Y,actual,2026-03-18
5Y,actual,2026-04-14
5Y,actual,2026-05-22
5Y,actual,2026-06-17
5Y,actual,2026-07-24
10Y,planned,2025-11-14
10Y,planned,2025-12-12
10Y,planned,2026-01-09
10Y,planned,2026-02-24
10Y,planned,2026-03-20
10Y,planned,2026-04-01
10Y,planned,2026-04-22
10Y,planned,2026-05-14
10Y,planned,2026-05-25
10Y,planned,2026-06-10
10Y,planned,2026-06-22
10Y,planned,2026-07-08
10Y,planned,2026-07-14
10Y,planned,2026-07-22
10Y,planned,2026-07-24
10Y,actual,2025-11-14
10Y,actual,2025-12-12
10Y,actual,2026-01-09
10Y,actual,2026-02-24
10Y,actual,2026-03-20
10Y,actual,2026-04-01
10Y,actual,2026-04-22
10Y,actual,2026-05-14
10Y,actual,2026-05-25
10Y,actual,2026-06-10
10Y,actual,2026-06-22
10Y,actual,2026-07-08
10Y,actual,2026-07-22
30Y,planned,2025-11-14
30Y,planned,2025-12-05
30Y,planned,2026-01-14
30Y,planned,2026-02-06
30Y,planned,2026-03-06
30Y,planned,2026-04-03
30Y,planned,2026-04-24
30Y,planned,2026-05-08
30Y,planned,2026-05-20
30Y,planned,2026-06-03
30Y,planned,2026-06-24
30Y,planned,2026-07-03
30Y,planned,2026-07-15
30Y,actual,2025-11-14
30Y,actual,2025-12-05
30Y,actual,2026-01-14
30Y,actual,2026-02-06
30Y,actual,2026-03-06
30Y,actual,2026-04-03
30Y,actual,2026-04-24
30Y,actual,2026-05-08
30Y,actual,2026-05-20
30Y,actual,2026-06-03
30Y,actual,2026-06-24
30Y,actual,2026-07-03
30Y,actual,2026-07-15
