term,series_key,total,is_special,note,grand_total,grand_routine,grand_special
5Y,R20,1980.0,0,首发早于数据窗口，本图只含续2次,11730.0,11730.0,0.0
5Y,R3,4250.0,0,,11730.0,11730.0,0.0
5Y,R8,4200.0,0,,11730.0,11730.0,0.0
5Y,R15,1300.0,0,仅首发，窗口内尚无续发,11730.0,11730.0,0.0
10Y,R22,4180.0,0,,18580.0,14580.0,4000.0
10Y,S1,4000.0,1,到期续作特别国债，定向发行,18580.0,14580.0,4000.0
10Y,R5,5000.0,0,,18580.0,14580.0,4000.0
10Y,R10,5400.0,0,窗口内已续发5次，仍在滚动加发中,18580.0,14580.0,4000.0
30Y,R2,1760.0,0,首发早于数据窗口，本图从续4起,7610.0,1760.0,5850.0
30Y,S2,3400.0,1,超长期特别国债二期,7610.0,1760.0,5850.0
30Y,S4,2450.0,1,超长期特别国债四期，窗口内仍在续发,7610.0,1760.0,5850.0
