bid_date,term,series_key,reissue_no,amount,program,label
2025-12-12,15Y,15Y_2,0,3500.0,到期续作特别国债,25特别2
2025-12-12,10Y,10Y_1,0,4000.0,到期续作特别国债,25特别1
2026-04-24,20Y,20Y_1,0,340.0,超长期特别国债,26特别1
2026-04-24,30Y,30Y_2,0,850.0,超长期特别国债,26特别2
2026-05-06,50Y,50Y_3,0,450.0,超长期特别国债,26特别3
2026-05-08,30Y,30Y_2,1,850.0,超长期特别国债,26特别2续1
2026-05-13,20Y,20Y_1,1,340.0,超长期特别国债,26特别1续1
2026-05-20,30Y,30Y_2,2,850.0,超长期特别国债,26特别2续2
2026-06-03,30Y,30Y_2,3,850.0,超长期特别国债,26特别2续3
2026-06-05,20Y,20Y_1,2,340.0,超长期特别国债,26特别1续2
2026-06-24,30Y,30Y_4,0,850.0,超长期特别国债,26特别4
2026-07-03,30Y,30Y_4,1,800.0,超长期特别国债,26特别4续1
2026-07-14,20Y,20Y_5,0,300.0,超长期特别国债,26特别5
2026-07-15,30Y,30Y_4,2,800.0,超长期特别国债,26特别4续2
